parroquia,z_ebp,ee,cv
80562,492.56,96.04949996617276,0.1950006089941789
80650,457.51,25.244824879887844,0.055178738999995286
80651,319.74,31.681781685722346,0.09908607520398556
80652,345.36,42.25692550691484,0.12235616604967234
80653,372.62,32.61427611440228,0.08752690707531072
80654,486.69,26.817841002920773,0.055102510844522744
80750,342.94,38.25518329663159,0.11155065987237299
80751,311.37,29.18364521331202,0.09372657999586351
80752,327.42,29.155043667202833,0.08904478549631309
80753,412.04,31.256134835098983,0.07585704017837827
80754,348.09,25.651558475088265,0.07369231657068076
80755,345.15,23.373804075622484,0.06772071295269444
90150,657.19,4.535026822245318,0.006900632727590678
90152,586.81,102.34952121920038,0.17441679797413198
90153,730.04,59.7090708014916,0.08178876609705167
90156,609.91,58.1605708926535,0.09535926758481335
90157,275.91,41.39293474240198,0.15002332188902892
90158,437.41,42.44582707744592,0.09703899562754834
90250,377.6,47.927619464454864,0.1269269583274758
90350,450.57,41.27949984374816,0.09161617472035014
90450,395.35,27.527151173592387,0.06962729524115945
90550,360.04,35.47631680221299,0.0985343761865709
90551,321.97,55.36488929541858,0.17195667079360988
90650,1005.22,35.65604973906368,0.03547089168447074
90652,421.07,60.11548165640139,0.1427683797382891
90653,434.78,69.58869437449543,0.16005495739108386
90654,444.37,63.72088849900753,0.14339601795577453
90656,346.6,39.11093201139954,0.11284169651298194
90750,624.3,23.25321605830973,0.037246862178935976
90850,482.77,37.76667043724136,0.07822911621940336
90851,350.8,40.79509765939566,0.1162916124840241
90852,336.47,50.81220004488484,0.15101554386686727
90950,535.08,27.698655000066687,0.051765446288530095
91050,672.54,30.70379688917028,0.04565348810356303
91051,500.96,81.74009356295994,0.16316690666512285
91053,454.02,41.66850692187039,0.09177680921957268
91054,554.65,43.72976302330995,0.07884208604220672
91150,609.46,37.310986484597116,0.061219746143466536
91151,454.12,52.63800465753167,0.1159121039758911
91152,391.37,71.83155244915174,0.18353872920548775
91153,505.17,37.171219357254955,0.07358160491964082
91154,315.5,41.486562879635315,0.13149465255034964
91250,594.96,39.138756164482274,0.06578384456851262
